county,Pop2012,Pop2017,Pop85up2012,Pop85up2017,Pop14to172012,Pop14to172017,Pop18to242012,Pop18to242017,Pop65up2012,Pop65up2017,EduLess9th,Edu9to12th,HighSchool,SomeCollege,Associate,Bachelor,Graduate degree,PopPov,VeryPoor,Poor,Unemployment
Screven,14168,13959,298,263,867,715,1342,1123,2234,2542,6.2,11.8,40.8,20.7,5.7,9.5,5.2,13656,1448,1644,5.5
Seminole,8868,8287,188,237,487,411,713,638,1770,1906,5.1,10.8,40.9,21.9,6.1,9.3,5.7,8444,1154,995,7.3
Spalding,63682,65403,1046,1108,3274,3417,5726,5284,9364,11388,5.1,14.3,38.2,19.5,6.7,10.5,5.7,62957,5815,7809,8.3
Stephens,25721,25785,461,447,1341,1315,2604,2471,4471,4957,5.4,12.9,36.1,18.9,7,10.6,9,24898,2230,2274,11.7
Stewart,6105,6179,125,142,203,170,749,887,847,939,17,17.3,38.3,11.4,3.6,9.6,2.8,3954,335,1305,11.8
Sumter,31586,29817,536,556,1806,1523,4309,4109,4302,4903,7.6,13.7,33.7,19.8,8.4,8.8,8,28600,4276,5284,10.6
Talbot,6625,6257,98,136,281,264,556,412,1246,1480,5.8,15,43,16.3,7.4,8.2,4.3,6348,513,557,8.2
Taliaferro,1675,1622,57,67,76,55,151,114,364,415,12.6,18.3,47.5,10.4,4.4,5.5,1.3,1839,296,275,9.5
Tattnall,25469,25353,311,334,1172,1175,2577,2378,3171,3531,7.4,18.2,38.9,17.3,5.9,7.4,4.9,19185,1974,2579,4
Taylor,8362,8114,150,183,502,430,752,637,1401,1570,8.9,14.3,36,23,6.4,7.3,4.1,8097,1091,1194,14.1
Telfair,16365,15890,319,424,678,717,1305,1183,2377,2814,11.1,18.6,47.4,9.7,5.2,4.2,3.9,13035,1576,2032,4.1
Terrell,9226,8717,154,172,484,431,869,726,1503,1665,6.5,17.7,31.4,24.2,9.4,5.8,5,8643,1371,1676,10.4
Thomas,44535,44662,879,856,2422,2429,3577,3562,7039,7882,4.7,12.8,31.2,20.7,8.3,12,10.2,43990,3459,5121,9.3
Tift,40943,40438,680,702,2216,2173,5081,4450,5404,5942,5.7,12.2,34.8,18.8,11.8,8.4,8.4,38582,3932,6793,3.9
Toombs,27179,26896,482,541,1626,1603,2326,2218,3975,4396,8,11.3,38.9,19.5,6.4,9.8,6.1,26809,3066,3466,10.3
Towns,10561,11539,365,434,387,376,1202,1540,3287,3976,5,5.9,30.4,24.1,9,15.1,10.5,10340,790,726,6.8
Treutlen,6788,6760,122,137,357,355,639,601,1018,1193,7.5,16.1,35.7,19.1,5.9,9.6,6,6404,532,815,5.6
Troup,68278,70038,1176,1229,4131,3979,6875,6826,8833,10125,5.6,10.9,35.5,22.7,6.9,11.5,7.1,67637,5631,8799,8.9
Turner,8441,7915,177,192,462,426,810,717,1452,1541,8.6,14.9,37.7,17.5,7.8,8.5,5,7665,1161,976,6.5
Twiggs,8547,8260,135,144,370,359,710,526,1595,1812,8.6,22.8,38.2,15.9,5.3,5.8,3.4,8225,967,1277,6.3
Union,21324,23427,659,764,943,1011,1277,1389,6187,7629,2.7,8.7,34.6,23,9.1,12,10,21744,1642,1146,5.5
Upson,26566,26197,505,514,1444,1354,2329,2145,4480,4824,5.8,15,36.9,20.5,8.8,7.9,5,25572,2912,2905,11.2
Walker,68466,69027,1234,1418,3770,3731,5466,5327,11118,12631,5.6,13.1,37.1,21.1,7.7,10.4,5.1,67105,4783,6740,7
Walton,84969,91406,1256,1393,5168,5753,7103,7610,11259,13903,2.7,10.5,38.1,21.6,8,13.2,5.7,87387,5915,5285,6.9
Ware,35900,35728,765,872,1759,1775,3443,3001,5608,6086,4.5,13.1,41.3,20.3,7.3,7.9,5.6,33179,4129,4111,4.6
Warren,5546,5292,146,155,259,259,442,397,1068,1150,9.3,15.6,43.9,12,5.5,8.5,5.2,5333,686,741,8.2
Washington,20793,20294,387,433,1142,987,1928,1773,2986,3449,6.6,14.7,41.8,18.3,5.6,8.8,4.2,18740,2014,3060,9.3
Wayne,30323,29760,407,451,1550,1663,2591,2281,4139,4633,6.5,12.2,39.8,19.9,8.9,7.5,5.3,27469,2803,3060,9.5
Webster,2766,2596,67,81,167,151,216,203,477,583,5.8,13.3,49.1,13.9,6.8,6.4,4.8,2613,187,322,4
Wheeler,7920,7952,121,141,291,321,814,787,954,1129,6.2,16.9,49.7,12.7,6.4,7,1.1,6085,864,916,9.1
White,27623,29455,482,590,1515,1437,2490,2646,5374,6561,3.4,11.4,31.7,24,9.2,11.9,8.3,28078,1654,3327,4.3
Whitfield,102963,104063,1295,1594,6212,6415,9923,9690,12324,14234,14,17.1,28.9,20.6,4.8,9.3,5.3,102648,5664,14046,8
Wilcox,9034,8794,185,202,388,359,820,769,1400,1573,5.7,13.5,49.8,15.2,5.2,6.1,4.4,6825,684,807,7.6
Wilkes,10084,9877,289,277,520,481,743,764,2074,2240,7.5,13.9,41.6,17.1,5.7,7.8,6.6,9779,812,1783,7.5
Wilkinson,9482,8967,159,173,493,490,767,664,1552,1695,5.2,12.2,52.1,16.2,5.3,5.5,3.5,9046,1130,982,8.8
Worth,21362,20536,350,398,1163,1066,2027,1579,3375,3857,7.2,14.7,39.1,18.8,9.1,6.7,4.3,20652,1769,2678,9.7
